,Botanical Name,Common Names,Plant Type,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Native Area,Toxicity,Family Name
826,Nematanthus gregarious,Goldfish plant,Perennial,Bright light but not direct light,Well-drained,Acidic,"Spring, summer, fall, winter","Red, orange, yellow","Central America, Caribbean",,
827,Spiraea japonica 'Goldflame',Goldflame spirea,Shrub,"Full, partial","Loamy, well-drained","Acidic, neutral",Summer,Pink,"Cultivar, no native range",,Rosaceae
829,Aegopodium podagraria,"Goutweed, cow parsley, ground elder","Herbaceous, perennial","Full sun, partial shade, full shade",Well-drained,"Acid, neutral, alkaline",Summer,White,"Europe, Asia",,
832,Malus gravenstein,Gravenstein apple tree,Fruit tree,Full sun,Loamy,7-Jun,Summer,Yellow green (apples),Denmark,,
833,Juniperus excelsa,"Greek juniper, Grecian juniper",Coniferous evergreen tree,"Full, partial","Moderate to dry, well-drained",Neutral to alkaline (6.5–8.0),Spring (not showy),Blue-black berries,"Southeastern Europe, Eurasia",,Cupressaceae
834,Polemonium caeruleum,"Greek valerian, Jacob's ladder","Herbaceous, perennial","Partial, shade",Well-drained,"Acidic, neutral","Spring, summer","Blue, purple, white, pink, yellow","Northern Asia, Europe; has naturalized in Eastern North America",,Polemoniaceae
838,Thuja standishii x plicata ‘Green Giant’,Green Giant Arborvitae,Needled evergreen,Full sun to part shade,"Fertile, well-drained clay or loamy","Acidic, Neutral, or Alkaline",Non-flowering,Non-flowering,Europe,,Cupressaceae
836,Fraxinus pennsylvanica,Green ash,Deciduous tree,Full,Well-drained,Acidic to alkaline (5.0 to 8.0),Late spring/early summer,Purple (non-showy),North America,,Oleaceae
839,Cornus racemosa,"Grey dogwood, Panicled dogwood",Perennial shrub,Full sun to part shade,"Sandy, Silt, Clay, Loamy",5 to 8,Late spring,White,Eastern North America,,
840,Physalis pruinosa,"Ground cherry, husk tomato, strawberry tomato","Annual, fruit, shrub",Full sun,"Loamy, sandy, well-drained",Acidic (6.0 to 6.5),Summer,,Central America,"Toxic to people, toxic to pets (except the fruit)",Solanaceae
841,Psidium guajava,Guava,Broadleaf evergreen shrub or tree,Full sun,"Rich, well-draining soil",4.5 to 7.0 (acidic to neutral),Usually spring,White,"Caribbean, Central and South America",,
843,Celtis occidentalis,Hackberry tree,Deciduous tree,"Full sun, partial shade","Organic, slightly moist",8-Jun,Summer/Fall,Purple fruits,North Dakota,,
845,Hosta 'Halcyon',"Halcyon hosta, plantain lily",Perennial,Partial shade (dappled sun),Moist but well-draining,Neutral (6.5 to 7.5),Summer,Pale lilac-blue,Asia,,Asparagaceae
847,Allium sativum var. ophioscorodon,Hardneck garlic,"Vegetable, perennial, annual",Full sun,"Loamy, well-drained","Acidic, neutral","Spring, summer",,Asia,"Toxic to people, toxic to pets",Amaryllidaceae
789,Geranium spp.,"Hardy geranium, cranesbill geranium, wild geranium, perennial geranium",Herbaceous perennial,"Full, partial (varies according to variety)","Medium moisture, well-drained",Slightly acidic,"Spring, summer, fall (varies according to species)","Blue, pink, purple, white","Temperate regions worldwide, especially the Mediterranean",,Geraniaceae
866,Hibiscus moscheutos,"Hardy hibiscus, rose mallow, swamp rose mallow",Herbaceous perennial,Full sun,"Average, organically rich",Neutral to slightly acidic,Summer,"White, red, pink, blue",North America (Missouri),,Malvaceae
849,"Actinidia arguta, Actinidia kolomikta","Hardy kiwi, hardy kiwi vine","Perennial, fruit","Full, partial","Loamy, well-drained",Acidic,Spring,"Green, white",Asia,,Actinidiaceae
850,Chrysanthemum morifolium,"Hardy mum, garden mum, florist's daisy","Herbaceous, perennial (sometimes grown as annuals)",Full sun,"Rich, moist, well-drained",Slightly acidic to neutral (6.2 to 7.0),Late summer to fall,"Gold, yellow, bronze, red, burgundy, pink, lavender, purple, cream, white, rust, white",Asia (China); modern types developed in Europe,Mildly toxic to people and animals,Asteraceae
851,Campanula rotundifolia,"Harebells, Bluebells, Bluebell of Scotland, Witches’ Thimble",Perennial,Full sun to partial shade,"Well-draining, sandy",Neutral,Summer to fall,Blue,Eurasia and North America,,
593,Corylus avellana 'Contorta',"Harry Lauder's walking stick, contorted filbert, corkscrew hazel, European filbert, European hazelnut, cobnut",Shrub,Full sun to partial shade,"Loamy, moist, well-drained","Acidic, neutral",Spring,Yellow,Europe,,Betulaceae
1240,Haworthia,"Haworthia, zebra cactus, pearl plant, star window plant, cushion aloe","Succulent, perennial","Full, partial","Sandy, well-drained",Neutral,Summer,White,Africa,,Asphodelaceae
852,Crataegus spp.,Hawthorn,"Flowering tree, large shrub",Full sun,"Moist, well-drained",Slightly acidic,"May, early June","White, pink","Europe, Asia, North Africa, North America",,Rosaceae
853,Philodendron hederaceum,"Heart-leaf philodendron, sweetheart plant",Perennial,Partial,Well-drained,"Acidic, neutral",,,Tropical Central and South America,Toxic to humans and pets,Araceae
854,Calluna vulgaris,"Heather, Scotch heather, Scottish heather","Broadleaf, evergreen shrub","Full, partial",Sandy,Acidic,"Mid-summer, early fall","Mauve, purple, white",Eurasia,,Ericaceae
855,Nandina domestica,"Heavenly bamboo, sacred bamboo",Shrub,"Full sun, partial sun","Rich, well-draining",3.7-6.4,Spring,"Cream, white",Eastern Asia,Toxic to animals,
856,Hebe spp.,Hebe shrub,"Perennial, shrub","Full, partial",Well-draining,"Acidic, neutral, alkaline","Summer, fall","Red, pink, white, purple, blue",New Zealand,,Plantaginaceae
859,Solanum lycopersicum,"Heirloom tomato, open-pollinated tomato","Annual, fruit",Full sun,"Loamy, well-drained",Acidic,Summer,Yellow,South America,Toxic to pets,Solanaceae
860,Heliconia spp.,"Heliconia, lobster claw, false bird-of-paradise",Tropical perennial,,,,,,,,
861,Heliotropium,"Heliotrope, cherry pie plant",Perennial,Full sun,"Rich, well-draining",6.6-7.3,"Summer, fall","White, lavender, purple",Peru,,
862,Heliotropium arborescens,"Heliotrope, garden heliotrope, cherry pie heliotrope, common heliotrope","Perennial, shrub",Full,Moist but well-drained,"Neutral, alkaline","Summer, fall","Purple, white",South America,Toxic to pets,Boraginaceae
863,Helleborus spp.,"Hellebore, Lenten rose, Christmas rose","Herbaceous, perennial",Shade in summer and sun in winter,Moist but well-drained,"Neutral, alkaline",Spring,"White, pink, purple, yellow",Middle East,Toxic to dogs and cats,Ranunculaceae
864,Sempervivum tectorum,"Hens and chicks, house leek","Succulent, evergreen perennial",Full,"Sandy, well-drained",Neutral soil pH (7.0),Summer,"Light pink, reddish-purple","Europe, Africa",,Crassulaceae
865,Hibiscus spp.,Hibiscus,Annual and perennial herbaceous plants,"Full sun, partial shade","Moist, well-drained","Acidic, Neutral","Summer, fall, and year-round in tropical climes","Various, including white, red, pink, yellow, orange","Asia, North America",,
1016,Acacia implexa,"Hickory wattle, fish wattle",Tree,Full sun,"Sandy, clay",Neutral to acidic (5.0 to 7.0),Summer,Cream to pale yellow,Eastern Australia,,
867,Prunus subhirtella,"Higan Cherry, Rosebud Cherry, Spring Cherry",Deciduous Tree,"Full Sun, Partial Shade","Loam, Clay, Sand, Well-drained","Acid, Alkaline, Neutral",Spring,"Pink, White",Japan,,
869,Betula jacquemontii,"Himalayan birch, Indian paper birch, white-barked Himalayan birch",Tree,"Full, partial","Loamy, sandy, clay, moist but well-drained","Acid, alkaline, neutral",Spring,"Yellow, brown, green",Asia,,Betulaceae
870,"Hoya carnosa 'Compacta', Hoya carnosa 'Krinkle Kurls'","Hindu Rope Plant, Porcelain Flower, Krinkle Kurl, Wax Plant","Succulent, perennial","Indirect sun, 6 hours daily",Well-drained,"Acid, neutral, alkaline","Spring, summer",Pink,"Asia, Australia",,Asclepiadaceae
871,Chamaecyparis obtusa,"Hinoki cypress, hinoki false cypress, Japanese cypress",Tree,Full,"Moist, well-drained",Acidic,,,Asia,,Cupressaceae
875,Malva alcea,"Hollyhock mallow, vervain mallow","Herbaceous, perennial","Full sun, partial shade",Moist but well-drained,6.1 to 7.8 (mildly acidic to mildly alkaline,Summer to early fall,Pink,"Europe, Asia",,Malvaceae
874,Alcea spp.,Hollyhocks,"Herbaceous, Perennial, Biennial","Full sun, Partial shade","Moist, Well-drained","Acid, Neutral, Alkaline",Summer,"Various including White, Pink, Red, Yellow, Lavender","Asia, Europe",,Malvaceae
876,"Ocimum tenuiflorum, Ocimum gratissimum","Holy Basil, Tulsi, Tulasi",Herbaceous shrub,Full Sun,"Moist, sandy loams with good drainage",Adaptable,Seasonal,Purple or white,"Indian Sub-Continent, Southeast Asia",,
878,Bauhinia blakeana,Hong Kong orchid tree,Tropical evergreen,Full sun to light shade,"Moist, well-drained loam",Acidic to neutral,November through March,"Reddish, purple, pink","India, China, Africa",,Fabaceae
882,Aesculus hippocastanum,Horse chestnut tree,Deciduous tree,"Full sun, part sun","Moist, well-drained light, medium, and heavy soils",4.5-6.5,April to June,White or pink,"Greece, Albania, Bulgaria",,
883,Armoracia rusticana,"Horseradish, red cole, pepper root","Perennial, herb, vegetable",Full sun,"Loamy, well-drained","Acidic, neutral (6.0 to 7.5)",Summer,,"Europe, Asia","Toxic to people, toxic to pets",Brassicaceae
884,Equisetum hyemale,"Horsetail, rough horsetail, scouring rush",Evergreen perennial,"Full sun, partial shade",Moist but well-drained,Neutral to acidic,,,"North America, Europe",Toxic to grazing animals,Equisetaceae
885,Hosta spp.,"Hosta, plantain lily",Herbaceous perennial,,,,,,,Toxic to dogs and cats,
1288,Hosta spp.,"Hosta, plantain lily","Herbaceous, perennial","Shade, partial","Loamy, well-drained",Acidic,Summer,"White, purple, pink",Asia,Toxic to pets,Asparagaceae
521,Capsicum spp. (mostly C. annuum),"Hot pepper, chili pepper, chili",Herbaceous perennial; usually grown as an annual,Full sun,,Slightly acidic (6.0 to 6.8),,,Southern North America and northern South America,,
886,Hoya kerrii,"Hoya kerrii, sweetheart hoya, hoya hearts, lucky heart hoya, Valentine's hoya","Vine, succulent",Full,Well-draining,"Acidic, neutral","Spring, summer","Pink, white",Asia,,Apocynaceae
888,Hoya obovata,"Hoya obovata, wax plant",Epiphyte,"Full sun-bright, indirect light","Rich, well-draining",6.1-7.3,"Spring, summer","Light pink, white",Indonesia,,
889,Hyacinthus orientalis,"Hyacinth, common hyacinth, Dutch hyacinth, garden hyacinth","Perennial, bulb","Full, partial",Moist but well-drained,"Neutral, acidic",Spring,"White, blue, purple, pink, red","Europe, Asia","Toxic to pets, toxic to humans","Asparagaceae, formerly Hyacinthaceae"
1316,Primula x polyantha,"Hybrid primrose, polyantha primrose, primrose",Herbaceous perennial,Partial,Moist but well-drained,Acidic to neutral,Spring,"Yellow, red, purple, white, pink","Europe, Africa, Asia","Toxic to humans, toxic to pets",Primulaceae
892,Rosa x hybrida,Hybrid tea roses,Shrub,Full,"Loamy, well-drained",Acidic,"Spring, summer, fall","Pink, yellow, white, orange, red, green, purple","Cultivar, no native range",,Rosaceae
178,,Hydrangea paniculata 'Renhy' (brand name is Strawberry Vanilla),Deciduous shrub,Full,Well-drained,Neutral to acidic,"Summer, fall","White, pink","Cultivar, no native range; parent species is native to Asia",,Hydrangeaceae
895,"Delosperma spp., Lampranthus spp.",Ice plant,"Herbaceous, perennial",Full,"Sandy, well-drained",Neutral,"Spring, summer, fall","Pink, red, purple, yellow, orange",Africa,,Aizoaceae
897,Impatiens spp.,"Impatiens, busy Lizzy","Perennial, annual","Partial, shade",Well-draining,Acidic,"Spring, summer","White, red, pink, orange, purple, yellow","Africa, New Guinea",,Balsaminaceae
899,"Acer palmatum var. dissectum 'Inaba Shidare,' Acer palmatum var. dissectum 'Inaba-shidare'",Inaba Shidare Japanese maple,Deciduous shrub or small tree,Full sun to partial shade,"Evenly moist, fertile, well-drained",Slightly acidic,,,Species plant is native to Japan,,Sapindaceae (soapberry)
900,Hydrangea arborescens 'Abetwo' Incrediball,Incrediball smooth hydrangea,Shrub,"Full, partial","Moist, well-drained","Neutral, acidic",Summer,White,"Cultivar, no native range","Toxic to humans, toxic to pets.",Hydrangeaceae
903,Rhaphiolepis indica,Indian hawthorn,Shrub,Full,"Moist, well-drained","Acidic, neutral, alkaline",Spring,"Pink, white",Asia,,Rosaceae
905,Ilex glabra,"Inkberry holly, gallberry, Appalachian tea",Shrub,"Full, partial","Moist, well-drained, clay",Acidic,Spring,White,North America,"Toxic to people, toxic to pets",Aquifoliaceae
906,Hydrangea arborescens NCHA1 Invincibelle Spirit,Invincibelle spirit hydrangea,"Broadleaf, deciduous, shrub","Full sun, partial sun","Loamy, moist but well-drained","Neutral, acidic, alkaline","Spring, summer",Pink,"Cultivar, no native range","Toxic to humans , dogs, cats, and horses",Hydrangeaceae
907,Iris,Iris,Perennial,Full sun,"Rich, moist, well-draining",Neutral to slightly acidic,"Late spring, early summer, and late summer","Varying shades of purple, blue, white, yellow","Europe, Asia, North America","Toxic to humans, toxic to pets",
908,Sagina subulata,"Irish moss, pearlwort","Herbaceous, perennial","Full, partial","Sandy, loamy","Acidic, neutral, alkaline","Spring, summer",White,Europe,,Caryophyllaceae
911,Paeonia cvs.,"Itoh peony, intersectional peony","Herbaceous, perennial","Full, partial","Rich, well-drained",Slightly acid to neutral (6.0 to 7.0),Late summer,"Yellow, coral, pink, red, white",Nursery hybrid,Toxic to pets,Paeoniaceae
912,Syringa reticulata ‘Ivory Silk’,Ivory silk lilac,Tree or large shrub,Full sun,"Clays, sandy loams, well-draining",Neutral,Late June/July,White,Japan,,Oleaceae
914,Pelargonium peltatum,"Ivy geranium, trailing geranium, ivy-leafed geranium",Herbaceous perennial,Full sun to partial shade,"Moist, well-drained",Neutral to slightly alkaline pH,"Spring, summer, fall","Pink, red, white, lilac",South Africa,"Toxic to people, toxic to cats, dogs, and horses",Geraniaceae
916,Jacaranda mimosifoila,"Jacaranda tree, black poui, blue jacaranda",Flowering tree,Full,"Sandy, well-drained",Neutral to acidic,"Spring, summer","Purple, blue-purple",South America,,Bignoniaceae
917,Pinus banksiana,Jack pine,Evergreen,"Full, partial","Dry, sandy",Acidic,Spring,Not Applicable,"Canada, Northern United States",,Pinaceae
411,Arisaema triphyllum,"Jack-in-the-pulpit, bog onion, lord-and-lady, wake robin",Herbaceous perennial,Partial to full shade,"Moist, humusy",Acidic,April to May,Greenish-purple,Eastern North America,Toxic to people and animals,
919,Clematis 'Jackmanii',"Jackman's clematis, Jackman clematis, Jackman virgin's bower",Vine,"Full, partial",Moist but well-drained,Neutral,Summer,"Blue, purple","Cultivar, no native range",,Ranunculaceae
922,Epipremnum aureum 'Jade',Jade Pothos,"Perennial, Vine","Full sun, Partial Shade",Moist but well-drained,"Acid, Neutral",Rarely flowers indoors,N/a,South Pacific,Toxic to people and pets,Araceae
921,Crassula ovata,Jade plant,"Succulent, perennial",Full sun,Well-drained,"Neutral, acidic",Spring,White,Africa,Toxic to dogs and cats,Crassulaceae
923,Capiscum annuum 'Jalapeño',Jalapeño,"Perennial (commonly grown as annual), vegetable",Full sun,"Loamy, moist, well-drained",Acidic to neutral (5.8 to 6.8),Summer,,"Central America, South America","Toxic to pets, can be toxic to people",Solanaceae
930,Camellia Japonica,"Japanese Camellia, Common Camellia","Shrub, Evergreen",Partial,"Loamy, Clay, Sandy","Acidic, Neutral, Slightly Alkaline","Fall, Winter, Spring","White, Red, Pink, Lavender, or Variegated","China, Korea, Japan",,Theaceae
951,Wisteria Floribunda,Japanese Wisteria,Vine,Full sun,Average soil with good drainage,Acidic,May,"Blue to Violet, Pink, White",Japan,Toxic to humans and pets,
925,Pieris japonica,"Japanese andromeda, Japanese pieris, lily of the valley bush, fetterbush",Shrub,"Full, partial","Moist, well-drained",Acidic,Spring,White,Asia,"Toxic to humas, toxic to pets",Ericaceae
927,Berberis thunbergii,Japanese barberry,Deciduous shrub,Full,Well-drained,"Acidic, neutral",Spring,Yellow,Japan,"Toxic to people, possibly toxic to pets",Berberidaceae
928,Pinus thunbergii,Japanese black pine,Tree,Full,"Sandy, loamy","Acidic, neutral, alkaline",,,Asia,,Pinaceae
929,Imperata cylindrica,Japanese blood grass; cogongrass,Perennial,Full,Moist but well-drained,"Acidic, alkaline (6.5-7.5)",,,Asia,,Poaceae
194,Chamaecyparis pisifera,"Japanese false cypress, Sawara false cypress, gold mops, golden mops false cypress, sun gold, king's gold","Shrub, tree","Full, partial","Clay, silt, loam","Neutral, acidic, alkaline",,,Japan,,Cupressaceae
