,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
466,"Canna lily, canna, arrowroot",Canna × generalis,Cannaceae,"Annual, perennial, rhizome","1.5-10 ft. tall, 1.5-6 ft. wide",Full,Moist,"Acidic, neutral",Summer,"Yellow, orange, red, pink",6a-10a (USDA),"Caribbean, East and West Africa, Central and South America",
467,"Cantaloupe, muskmelon",Cucumis. melo var. reticulatus,Cucurbitaceae,"Fruit, annual","15–18 in. tall, 6 ft. wide",Full sun,"Loamy, sandy, well-drained","Acidic, neutral",Summer,,5-11 (USDA),"Asia, Africa",
468,"Canterbury bells, cups and saucers",Campanula medium,Campanulaceae,"Annual, biennial","20-26 in. tall, 12-18 in. wide","Full, partial","Moist but well-drained, loamy, sandy","Neutral, acidic, alkaline",Summer,"Pink, white, purple, blue",5-8 (USDA),Europe,
469,Cape honeysuckle,Tecoma capensis,Bignoniaceae,Flowering broadleaf evergreen shrub,"3-10 ft. tall as a shrub, 25-30 ft. long as a vine","Full, partial",Well-drained,Acidic to alkaline (5.0–8.0),Fall to spring,"Yellow, red, orange, peach",9-11 (USDA); may survive in zone 8 with protection,Southern Africa,
470,Caper bush,Capparis spinosa,,Evergreen shrub,"2–3 ft. tall, 3–6 ft. wide",Full sun,"Dry, well-drained",Neutral to acidic,"Spring, summer, early fall",White,8–10 (USDA),Europe,
471,"Cardamom, Cardamon, Cardamum, Green Cardamom, True Cardamom",Elettaria cardamomum,,"Herbaceous, evergreen, rhizomatous perennial","6 - 15 ft. tall, 4 - 10 ft. wide outdoors, 2 - 4 ft. tall indoors",Part to full shade,Loam,"5.1 - 5.5 (strongly acidic), 6.1 - 6.5 (mildly acidic)",April to May,White or yellowish,"10-12, USDA","Asia (India, Burma and Sri Lanka)",
472,"Cardboard palm, cardboard plant, cardboard sago, cardboard cycad, Jamaican sago, Mexican cycad",Zamia furfuracea,Cycadaceae,Perennial,"3–5 ft. tall, 4–6 ft. wide",Full,"Sandy, well-drained",Acidic,None,None,9–11 (USDA),Central America,Toxic to people and pets
473,Alocasia silver dragon,Alocasia baginda 'Silver Dragon',Araceae,"Herbaceous, Perennial",Up to 3 ft. tall,Partial,Well-drained,"Neutral, Alkaline","Spring, summer (very occasional)",White,9-11 (USDA),Southeast Asia,"Toxic to people, toxic to pets"
474,Cardinal climber,Ipomoea × multifida,Convolvulaceae,"Annual, vine","6-15 ft. long, 9-2 in. wide","Full sun, partial sun",Well-drained,Neutral,Summer thru fall,Red,10-12 (USDA); annual in colder zones,"Hybrid plant, no native range","Toxic to dogs, cats, and horses"
475,Cardinal flower,Lobelia cardinalis,Campanulaceae (Bellflower),Herbaceous perennial,3-4 ft. tall; 1-2 ft. wide,Full to partial,Moist,Slightly acidic to neutral,Summer to early fall,"Red, pink, white",2-9 (USDA),The United States and Canada,Toxic to humans and pets
476,"Carnation, pinks",Dianthus caryophyllus,,Flowering perennial,12-18 inches,Full sun to partial shade,"Alkaline, fertile, well drained",07-Aug,late spring; reblooms,"white, pink, red",USDA 7-10,"Italy, Spain, Greece, Croatia",
477,"Carolina allspice, sweet shrub, spice bush",Calycanthus floridus,Calycanthaceae,Flowering shrub,6-9 ft. tall,Full sun to shade,Well-draining,Tolerant of most soils,Mid-spring,Yellow to brown,5b-10a (USDA),Southeastern United States,Berries and seeds are toxic to pets and people
478,"Carolina silverbell, silverbell tree, mountain silverbell, snowdrop-tree",Halesia carolina,Styracaceae,"Deciduous tree, shrub",,"Full, partial",Moist but well-drained,Acidic,Spring,White,4-8 (USDA),North America,
479,"Carpet grass, blanket grass","Axonopus fissifolius, Axonopus compressus",Poaceae,Creeping perennial grass,1–12 in.,Partial,"Moist, poor-to-average soil",Acidic to neutral (5.0 to 7.0),June to September,Yellowish-white (not showy),7–10 (USDA),Americas (tropical and subtropical regions),
480,"Owl eyes succulent, little owl eyes, lifesaver cactus, lifesaver plant, carrion flower, zebra-striped Huernia",Huernia zebrina,,Succulent,"6"" spread, 6-8"" in height",Bright light - partial shade,Well-draining,6,Summer,"Yellow, red, purple, white",,South Africa,
481,Carrot,Daucus carota,Apiaceae or Umbelliferae,Vegetable,"6 to 12 inch root, 1 foot foliage height; 9 inch spread",Full sun to part shade,"Loose, well-draining soil",Slightly acidic (6.0–6.8),Spring (second growing season),,3–10 (biennial grown as an annual),"Europe, Southwestern Asia",
482,Casa Blanca Lily,Lilium 'Casa Blanca',,"Oriental hybrid lily (bulbous, herbaceous perennial)","Three to four feet tall, one foot wide",Full sun to light shade,"Organic, well-drained",Slightly acidic or neutral soil,Mid to late summer,White,USDA 4-9,"Europe, North America and Asia south to the Philippines",Toxic to cats
483,"Popcorn plant, popcorn cassia",Senna didymobotrya,Fabaceae,"Perennial, annual","2-25 ft. tall, 2-5 ft. wide",Full,Well-drained,"Acidic, neutral",Summer,Yellow,9-11 (USDA),Africa,"Toxic to humans, toxic to pets"
484,"Alocasia Black Velvet, Black Velvet Elephant Ear",Alocasia reginula A.Hay,Araceae,"Herbaceous, Perennial",Up to 1.5 ft. tall,Partial,Well-drained,"Acid, Neutral",Very occasional,White,10+ (USDA),Southeast Asia,"Toxic to people, toxic to pets"
485,"Cast-iron plant, bar room plant",Aspidistra elatior,Asparagaceae,"Perennial, herbaceous","2–3 ft. tall, 1–2 ft. wide","Partial, shade",Well-drained,"Acidic, neutral","Spring, summer",White/purple,"8–10, USA",Asia,
486,"Gloriosa lily, climbing lily, fire lily, flame lily, glory lily",Gloriosa superba,Colchicaceae,Herbaceous perennial,"6-8 ft. tall, 1-3 ft. wide","Full, partial","Sandy, loamy",Neutral to acidic,"Summer, fall","Red, orange, yellow, pink",8–12 (USDA),"Africa, Asia",Highly toxic to humans and animals
487,"Catalpa, catawba, cigar tree, western catalpa",Catalpa spp.,Bignoniaceae,Deciduous tree,"40 - 60 ft. tall, 20 - 40 ft. spread",Full sun to part shade,"Clay, loam, sandy, moist, dry",Tolerates acidic to alkaline,Late May to June,White,"USDA 4-8, depending on species","North America, Caribbean, East Asia",
488,"Northern catalpa, catalpa, hardy catalpa, cigar tree",Catalpa speciosa,Bignoniaceae,Deciduous tree,"40-70 ft. high, 20-50 ft. wide","Full, partial","Moist, well-drained",Acidic to neutral (5.5-7.0),Late spring/Early summer,White,4-8 (USDA,North America (U.S. Midwest),
489,"Catawba rhododendron, catawba rosebay",Rhododendron catawbiense,Ericaceae,Broadleaf evergreen shrub,"6-8 ft. tall, 4-6 ft. wide",Partial shade to full shade,"Fertile, well-drained",Acidic,"Spring, summer",Lavender-pink,4-8 (USDA),Southeastern United States,"Toxic to people, pets"
490,Catmint,Nepeta spp.,Lamiaceae,Perennial,"10-24 in. tall, 1-2 ft. wide","Full, partial",Well-drained,"Acidic, neutral, alkaline","Spring, summer","Purple, white, pink",4-8 (USDA),"Europe, Asia, Africa",
491,"Catnip, catmint",Nepeta cataria,Lamiaceae,"Perennial, herb","2–3 ft. tall, 2–3 ft. wide",Full sun,"Loamy, sandy, well-drained","Acidic, neutral, alkaline","Spring, summer, fall",,3–7 (USDA),"Europe, Asia",Toxic to cats
492,Cauliflower,Brassica oleracea (Botrytis group),,"Biennial, grown as an annual","12-30 in. tall, 12-24 in. wide",Full sun,"Rich, well-draining",Neutral (6.5 to 7.5),"Spring, fall","White, orange, purple, green",2-11 (USDA),Europe,
493,Cayenne pepper,Capsicum annuum 'Cayenne',Solanaceae,"Perennial, vegetable","1–4 ft. tall, 1–2 ft. wide",Full sun,"Moist, well-drained","Acidic, neutral",Summer,,9–11 (USDA),"South America, Central America",Toxic to people
494,"Cebu blue pothos, blue pothos",Epipremnum pinnatum 'Cebu Blue',Araceae,"Evergreen, vine","8 ft. long indoors, 40 ft. long outdoors",Partial,Moist but well-drained,"Acidic, neutral, alkaline",,,"9-11, USA",Asia,
495,Alocasia dragon scale,Alocasia baginda 'Dragon Scale',Araceae,"Perennial, corm","2-3 ft. tall (indoors), 1-2 ft. wide (indoors)",Partial,Moist but well-draining,"Neutral, alkaline","Spring, summer","Green, white",9-11 (USDA),Asia,
496,"Cedar of Lebanon, Lebanese cedar",Cedrus libani,Pinaceae,Tree,"40–100 ft. tall, 40–80 ft. wide",Full,"Moist, well-drained",Acidic,,,5–9 (USDA),Mediterranean,
497,Celebrity tomato,"Solanum lycopersicum, cultivar 'Celebrity'",,Annual,3 to 4 ft. tall,Full sun,"Fertile, well-drained",6.2 to 6.8,"Early summer, fruits appear through fall",Yellow,5 to 8 (USDA),Native to Central and South America,Green parts of plant may be toxic to dogs or cats
498,Centipede grass,Eremochloa ophiuroides,,Perennial grass,Five inches height,Full sun,"Sandy, silt, loam",5 to 6,Summer to fall,Inconspicuous,07-Oct,South and central China,
499,"Century plant, American aloe, maguey",Agave americana,Asparagaceae,Succulent,"Three to six feet tall, six to ten feet wide",Full,"Sandy, well-drained","Acidic, neutral, alkaline",Summer (rarely blooms),Yellow,"8-11, USDA",Texas and Mexico,"Toxic to people, toxic to pets"
500,"Cherimoya, Custard Apple",Annona cherimola,Annonaceae,Tropical evergreen,"30 ft. tall, 30 ft. wide",Full sun,"Compost-rich, Loamy soil",6.5 to 7.6,May to October,"Green, Pink",USDA 10-11 (Will only fruit in 10),"Ecuador, Colombia, and Bolivia",
501,Cherry laurel,Prunus laurocerasus,Rosaceae,Evergreen shrub,"Up to 25 feet tall, 30 feet wide",Full shade to full sun,"Fertile, well-drained",6.5-7.5,Spring,White,4-9 (USDA),"Southwest Asia, Southeast Europe","Toxic to people, pets"
502,"Purpleleaf plum, cherry plum",Prunus cerasifera,Rosaceae,Tree,"15–25 ft. tall, 15–25 ft. wide","Full, partial","Loamy, well-drained","Acidic, neutral",Spring,"Pink, white",4–9 (USDA),"Europe, Asia","Toxic to humans, toxic to pets."
503,Cherry tomato,Solanum lycopersicum var. cerasiforme,Solanaceae,"Annual, fruit","4–8 ft. tall, 1–3 ft. wide",Full sun,"Loamy, well-drained",Acidic (6.0 to 6.8),Summer,,2–11 (USDA),South America,"Toxic to people, Toxic to pets"
504,Japanese flowering cherry bonsai,Prunus serrulata,Rosaceae,Tree,10-15 inches tall,Partial,Well-drained,Acidic,Spring,"Pink, white",5-8 (USDA),Asia,"Toxic to humans, toxic to pets"
505,Chia,Salvia hispanica,,Annual,5 feet,Full sun,"Tolerant of all soils, prefers clay or sandy",Tolerant of all soils,Early summer,Pale blue,USDA 8-11,"Mexico, Guatemala",
506,"Alocasia frydek, green velvet Alocasia",Alocasia micholitziana 'Frydek',Araceae,Herbaceous perennial,"2-3 ft. tall, 2-3 ft. wide",Partial,Moist but well-drained,Acidic,"Spring, summer",Green,"9-11, US",Asia,"Toxic to cats, dogs, and horses"
507,"Bloodleaf, chicken gizzard, beefsteak plant",Iresine herbstii,,Herbaceous perennial,12 to 18 inches tall when potted,"Full sun, partial shade","Loamy, soil-based potting mixture",5.6 to 5.9,Flowers not showy,Green-white,10 to 12,Brazil,
508,"Chickpea, garbanzo bean",Cicer arietinum,Fabaceae,"Annual, vegetable",8-24 in. tall and wide,Full,"Loamy, sandy, well-drained",Acidic,Spring,,3-9 (USDA),"Asia, Africa, Middle East",
509,Chilean bellflower,Nolana,,Annual or perennial,6 to 12 inches tall and wide,Full to part sun,Well-drained,Slightly acidic,Summer,"Blue, blue-violet, pink","10, 11",Chile and Peru,
510,"Hot pepper, chili pepper, chili",Capsicum spp. (mostly C. annuum),,Herbaceous perennial; usually grown as an annual,1 to 5 ft.; 1- to 3-ft. spread (depends on variety),Full sun,"Rich, moist, well-drained",Slightly acidic (6.0 to 6.8),,,9 to 11 (usually grown as annuals),Southern North America and northern South America,
511,"China doll plant, serpent tree, emerald tree",Radermachera sinica,,Broadleaf evergreen,"4–6 ft. tall (indoors), 1–3 ft. wide (indoors)","Full sun, partial shade",Moist but well-drained,Neutral to acidic,Summer (rarely blooms indoors),"White, yellow",10–12 (USDA) when outdoors,Asia,
512,"Tropical hibiscus, Chinese hibiscus, China rose",Hibiscus rosa-sinensis,Malvaceae,Shrub,"4–10 ft. tall, 3–6 ft. wide","Full sun, partial shade",,Acidic,"Summer, fall","White, red, pink, orange, yellow, purple",9–12 (USDA),Asia,
513,Chinese Chestnut,Castanea mollissima,,Tree,40-60 ft. Tall 40-60 ft. Wide.,Full Sun,"Medium to wet, well-drained loam",Slightly acidic,June,Yellowish White,USDA 4-8,Korea and China,
514,Chinese Dwarf Banana,Musa lasiocarpa,Musaceae,Perennial,"4-12 ft. high, 4-8 ft. wide","Full sun, partial shade",Well-drained,Acidic,"Summer, fall",Yellow,7-10 (USDA),Asia,
515,"Lacebark Elm, Chinese Elm",Ulmus parvifolia,,Tree,40-50 ft. tall 25-30ft. wide,Full Sun,"Average, Good Drainage",Prefers Neutral Soil,Late Summer,Reddish-Green,USDA 4-9,East Asia,
516,"Chinese evergreen, Philippine evergreen, Poison Dart Plant",Aglaonema commutatum,Araceae,"Herbaceous, perennial","1–3 ft. tall, 1–3 ft. wide","Partial, full",Well-drained,Acidic,"Spring, summer",White,10–12 (USDA),Asia,Toxic to dogs and cats
517,Alocasia stingray,Alocasia macrorrhiza ‘Stingray’,Araceae,"Perennial, corm","3-4 ft. tall (indoors), 3-4 ft. wide (indoors); 15 ft. tall (outdoors), 8 ft. wide (outdoors)",Partial,Moist but well-draining,Acidic,"Spring, summer","Green, white","9-11, USA",Asia,Toxic to pets
518,,Livistona chinensis,Arecaceae,Palm tree,"30-50 ft. tall, 10–12 ft. wide",Full to partial,"Loamy, moist, well-drained","Acidic, neutral",Spring,Creamy white (not showy),9–11 (USDA),Asia,
519,"Chinese flame tree, Bougainvillea golden rain tree, Chinese golden rain tree",Koelreuteria bipinnata,Sapindaceae,"Tree, deciduous","20-30 ft. tall, 25-35 ft. wide",Full,"Sandy, clay, loamy","Acidic, alkaline",Summer,Golden yellow,7-9 (USDA),Asia,
520,"Flowering quince, Chinese flowering quince",Chaenomeles speciosa,Rosaceae,Shrub,,Full,"Moist, well-drained","Acidic, neutral","Winter, spring","White, orange, red, pink",5 to 9 (USDA),Asia,
521,Chinese foxglove,Rehmannia elata,,Herbaceous perennial,"2-3 ft. wide, 1.5-3 ft. wide","Full sun, partial shade","Well-draining, rich soil",6.5-7,"Summer, fall","Pink, purple",07-Oct,China,Toxic to humans and animals
522,Chinese holly,Ilex cornuta,Aquifoliaceae,"Shrub, tree","8-15 ft. tall, 8-15 ft. wide","Full, partial","Moist, well-drained","Neutral, acidic","Spring, summer",White,7-9 (USDA),Asia,"Toxic to humans, toxic to pets"
523,Chinese juniper,Juniperus chinensis,,"Shrub, tree","2–40+ ft. tall, 15–20+ ft. wide",Full,"Moist, well-drained",Neutral to slightly acidic,Spring,Yellow to bronze (no ornamental value),4–9 (USDA),Asia,
524,"Chinese lantern, winter cherry, ground cherry",Physalis alkekengi,Solanaceae,Perennial,"1–2 ft. tall, 1–2 ft. wide","Full, partial","Moist, well-drained",Neutral,Summer,White,3–9 (USDA),"Europe, Asia","Toxic to people, pets"
525,"Chinese long beans, asparagus beans, yardlong beans",Vigna unguiculata subsp.,,Annual vegetable,8 to 12 ft.,Full sun,"Dry, sandy",6.0 to 7.5 (slightly acidic to slightly alkaline),,,"Annual, grown mostly in warm zones",Africa,
526,"Pancake plant, Chinese money plant, coin plant, UFO plant, friendship plant",Pilea peperomioides,Urticaceae,Evergreen perennial,"12 in tall, 8 to 12 in. wide",Bright indirect light,"Well-draining, rich",Slightly acidic to neutral,Spring,White,,China,
527,"Cilantro, coriander, Chinese parsley",Coriandrum sativum,Apiaceae,"Annual, herb","1–2 ft. tall, 1–1.5 ft. wide","Full sun, partial sun","Loamy, moist, well-drained",Acidic (6.2 to 6.8),"Spring, summer, fall",,"Annual, thrives in 2–11 (USDA)","Asia, Europe, Africa",
528,"Alocasia grey dragon, African mask maharani",Alocasia maharani,Araceae,"Perennial, corm",14 in. tall (indoors),Partial,Moist but well-draining,Acidic,"Spring, summer","Green, white","10, USDA",Asia,Toxic to pets
529,"Chinese peony, common garden peony",Paeonia lactiflora,Paeoniaceae,Herbaceous perennial,2–3 ft. tall and wide,"Full, partial","Sandy, loamy",Neutral (6.5 to 7.0),Late spring to early summer,"Pink, red, white, yellow, purple, bicolors",3a-8a (USDA),"Central Asia (China, Siberia)",Mildly toxic to pets
530,Chinese Pistache,Pistacia chinensis,Anacardiaceae,Deciduous tree,"30 - 35 ft. tall, 20 - 30 ft. wide",Full sun,"Moist, rich, well-drained soil",Adaptable,April,"Yellow, Orange, or Red",USDA 6-9,China to Phillipines,
531,"Chinese snowball, Chinese snowball viburnum",Viburnum macrocephalum 'Sterile',Adoxaceae,Deciduous shrub,"6–10 feet tall and wide, taller in warmer climates",Full sun to partial shade,"Moist, well-draining",Slightly acidic to slightly alkaline (6.5–7.5),Spring,White,6-9 (USDA),Asia (China),
532,Chinese wisteria,Wisteria sinensis,,"Perennial, vine","10–25 ft. long, 4–8 ft. wide",532,Moist but well-drained,,Spring,"Purple, white",5–8 (USDA),Asia,"Toxic to people, toxic to pets"
533,Chinese yew,Taxus chinensis,,Needled evergreen tree often trimmed to be shrub-like,60 feet,Full sun to partial shade,Loam with good drainage,6.0 to 8.0,Not grown for its flower,Not grown for its flower,5 to 7,China and Vietnam,
534,"Chinkapin oak, yellow chestnut oak",Quercus muehlenbergii,Fagaceae,Tree,"50 to 80 ft. tall, 50 to 70 ft. wide",Full sun,"Loamy, sandy, clay, silt, moist but well-drained",Acidic (6.5) to alkaline (above 7.0),Spring,Inconspicuous,"3-9, USA",North America,
535,"Chives, common chives",Allium schoenoprasum,,"Herbaceous, perennial","10-15 in. tall, similar spread","Full sun, light shade","Loamy, sandy",Slightly acidic to neutral,Early summer,Lilac purple,3–9 (USDA),"Europe, Asia, North America","Toxic to dogs, cats"
536,Chocolate Cosmos,Cosmos atrosanguineus,,"Annual, perennial above Zone 7",30 in. tall,Full sun,"Rich, well drained",Slightly acidic,Summer,Dark red,7-11 (USDA),Mexico,
537,Chocolate mint,Mentha × piperita f. citrata 'Chocolate',Lamiaceae,Herbaceous perennial,1–2 ft. tall and wide,"Full, partial",Moist,6.5–7 (slightly acidic to neutral),Mid- to late summer,"Lavender, pink",5a–9a (USDA),Europe and the Middle East,
538,"Chocolate vine, raisin vine, five-leaf akebia",Akebia quinata,Lardizabalaceae,Perennial flowering vine,"15–30 ft. long, 1–2 ft. wide","Full sun, partial shade","Sandy, loamy",Neutral to mildly acidic,Spring,"Purple, brown","4–8, USA","Asia (Korea, China, Japan)",
539,"Zebra plant, zebrina Alocasia, tiger taro (gabing tigre)",Alocasia zebrina,Araceae,"Perennial, bulb","3 ft. tall (indoors), 3 ft. wide (indoors)",Partial,Moist but well-draining,"Acidic, neutral","Spring, summer","Green, white","10-11, USA",Asia,Toxic to pets
