commonName,botanicalName,family,plantType,size,sunExposure,soilType,soilPH,hardinessZones,nativeArea,image,site,matureSize,bloomTime,flowerColor,toxicity
"Blue Princess holly, blue holly",Ilex x meserveae 'Blue Princess',Aquifoliaceae,Shrub (broadleaf evergreen),,"Full, partial","Moist, well-drained","Acidic, neutral (5.0—7.0)",3b-7a (USDA),Nursery hybrid,https://www.thespruce.com/thmb/bbhigiH0SEFvfoXDube89SGEitI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/blue-princess-holly-2132070-hero-fe5de44ddcc04a3aabb34238613daf7c.jpg,Blue Princess Holly Ilex x meserveae'blue princess'.json,"10–15 ft. tall, 8–10 ft. wide",Spring,White,Mildly toxic to people and pets
"Garden balsam, rose balsam, touch-me-not",Impatiens balsamina,Balsaminaceae,Annual,,"Full, partial","Loamy, moist, well-drained","Acidic, neutral",2–11 (USDA); true annual,Asia,https://www.thespruce.com/thmb/ND70JHWGAvfWwuPyHpgtZ_cX6C8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/lavatera-plant-profile-4800057-3-44bbbc67e5834c2cb1a71422c3732a5c.jpg,Touch-Me-Not Impatiens balsamina.json,"6–30 in. tall, 6–12 in. wide","Spring, summer, fall","Purple, pink, red, white, bicolors",
"European Ash, Common Ash",Fraxinus excelsior,,Tree,,Full Sun,"Moist, Well Drained, Loam",Adaptable,5 to 7,"Europe, Caucaus",https://www.thespruce.com/thmb/D94qlh7P6KOl-ZGMeUi9MS4Yj3k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/european-beech-growing-profile-3269265-hero-891f1d8f46924f19ac0f507a4eb1d481.JPG,European Ash Fraxinus excelsior.json,70 to 80 Feet,April to May,White,
"Fiddle-leaf fig, banjo fig",Ficus lyrata,Moraceae,Broadleaf evergreen,,Part shade,"Loamy, medium moisture, well-draining",6 to 7,10-12 (USDA),Tropical western Africa,https://www.thespruce.com/thmb/WHI7FkC8vfadCbQjCiCyQ3_h-Sc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/fire-island-hosta-plants-golden-leafed-classic-4125606-hero-4af26bd4d4234ac49ca34e1b4a7ad403.jpg,Fiddle-Leaf Fig Ficus lyrata.json,"50 ft. tall (outdoors), 10 ft. tall (indoors)",Rarely flowers outside of its native area,Insignificant,Toxic to cats and dogs
"Mugo pine, Swiss mountain pine",Pinus mugo,,Shrub,,"Full, partial",Well-drained,"Acidic, neutral, to alkaline",2 to 7 (USDA),Europe,https://www.thespruce.com/thmb/OdnMK1U7QHjlV-OfOaJdTVOWVC0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/mullein-plant-growing-guide-5203326-hero-b0d16f1824194b41a0d45e4532f62b87.jpg,Mugo Pine Pinus mugo cultivars.json,"2-5 ft. tall, 3-5 ft. wide",,,
"Baby tears, baby's tears, angel's tears",Soleirolia soleirolii,Urticaceae,"Herbaceous perennial, often grown as an annual",,Partial sun to shade,"Rich, moist loam",5.0 to 6.0 ( slightly acidic),9 to 11 (USDA),Mediterranean,https://www.thespruce.com/thmb/E8rKN8ii93p3MyRbMLZyJg9yTmM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/peperomia-obtusifolia-growing-guide-5271088-hero-4b5c709b63414d48b097f8f27102fdf4.JPG,Baby Tears Soleirolia soleirolii.json,4 in. tall; 36 in. wide,Late spring to early summer; May to June,Creamy ivory,
"Aluminum Plant, Watermelon Pilea",Pilea cadierei,,Herbaceous perennial,,"At least four hours of indirect, sun a day",Sandy soil mixture,Slight acidic to neutral,"9b-11, USA",North Africa,https://www.thespruce.com/thmb/VVcN6fRTRtzYgG1N_yZQYId1s5o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-aluminum-plants-5087084-3-b8d470e9fac14de8a30e8521b34d3fd8.jpg,Aluminum Plant Pilea cadierei.json,1 - 2 ft,Rarely blooms,White,
Hybrid tea roses,Rosa x hybrida,Rosaceae,Shrub,,Full,"Loamy, well-drained",Acidic,5-9 (USDA),"Cultivar, no native range",https://www.thespruce.com/thmb/EYGKrocvmk02CQlYOjpYlIox5eI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-499088354-89f911a93ff44fbc935c7d57d0f7ee5e.jpg,Hybrid Tea Roses Rosa x hybrida.json,"3-8 ft. tall, 2-3 ft. wide","Spring, summer, fall","Pink, yellow, white, orange, red, green, purple",
"Kalanchoe, flaming Katy, Christmas kalanchoe",Kalanchoe blossfeldiana,Crassulaceae,"Perennial, succulent",,"Full sun, partial shade","Sandy, well-drained",Acidic (5.8 to 6.3),"10–12, USDA",Africa (Madagascar),https://www.thespruce.com/thmb/oq8NOX9Zuoo4T27RZt2fIJ2lJL8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/kangaroo-paw-flowers-1315764-20-crop-f0486dc5f37a467897b49bb228be7642.jpg,Kalanchoe Kalanchoe blossfeldiana.json,6–18 in. tall and wide,Varies; requires 6 weeks of 14-hour nights,"Yellow, red, orange, pink, white","Toxic to pets, considered non-toxic to humans"
"Bat flower, tiger beard, cat's whiskers, devil's flower",Tacca chantrieri,,Perennial,,Partial sun to dappled shade,"Fertile, well-drained",6.1 to 7.5,9b to 11,"Southeast Asia, Australia",https://www.thespruce.com/thmb/W-cYEp7y7n4cJcoyp-pOq0-eCMY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/basswood-tree-growing-guide-5196352-hero-7b601ba279484f24af3507aaa2924b9b.jpg,Bat Flower Tacca chantrieri.json,"36 inches tall, 12 inches wide",Late summer through fall,Black (dark purple),
"Deodar Cedar, Himalayan Cedar",Cedrus deodara,Pinaceae,Evergreen coniferous tree,,Full,"Loamy, moist, sandy, clay, well-drained",Acidic,7-9 (USDA),Asia,https://www.thespruce.com/thmb/mbmtPjCfKyJN4NBP9CK-88AA2oI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/deodar-cedar-growing-profile-3269261-hero-e70ba08c3eba4cb6b24e621b879848f1.JPG,Deodar Cedar Cedrus deodara.json,"40-70 ft. tall, 20-40 ft. wide",,,
Wild Raspberry or Wild Red Raspberry,Rubus idaeus,Rosaceae,"Perennial, fruit, shrub",,"Full sun, partial shade",Well-drained,Acidic,4 to 8 (USDA),"North America, Europe, Northern Asia",https://www.thespruce.com/thmb/JlXbZm8nZfi48z7jdK6cfOtkZsQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/cucurbita-maxima-winter-squash-guide-5201845-hero-258630c5d3564b5eadbbb19d735a3cb0.jpg,Wild Red Raspberry Rubus idaeus.json,"3-9 ft. tall, 3-9 ft. wide","Summer, fall",White,
"Duranta plant, duranta, golden dewdrops, sky flower, pigeon berry",Duranta erecta,,Tropical broadleaf evergreen shrub,,Full,Rich loam; tolerates rocky soil,Acidic to slightly alkaline (5.6—7.5),10—11 (USDA),Central and South America,https://www.thespruce.com/thmb/EbdmcGqPPpM7bdTaWObBCURo1UE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/duranta-plant-care-and-growing-guide-4684565-hero-32691999f7464b03ba49c89d5cc5f537.jpg,Duranta Duranta erecta.json,"2-4 ft. tall, 1-2 feed wide (when grown as an annual); up to 18 feet tall as a perennial in warm-winter zones.",Spring through frost,"Blue, violet, white",Leaves and berries are toxic to humans and pets
"Philodendron micans, velvet-leaf philodendron",Philodendron hederaceum var. hederaceum,Araceae,Perennial,,Partial,"Loamy, moist but well-drained",Acidic,"10a, 10b, 11a, 11b","North America, Central America",https://www.thespruce.com/thmb/aVBXnaYVMmT78aL3BiBR9HSQM2A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/305527136_599275351573344_7060108725561061553_n-0a0ed5e7b6e24de3a2bf7bc38e05e1dc.jpg,Philodendron Micans Philodendron Micans.json,"8 in. tall, 24 in. long","Spring, summer","Green, white","Toxic to cats, toxic to dogs"
Japanese maple bonsai,Acer palmatum,Aceraceae,Tree,,Partial,Well-draining,Acidic,5-8 (USDA),Japan,https://www.thespruce.com/thmb/kcAp0fUlZsJrFIghOfOgMpAW3ro=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-and-care-for-japanese-painted-ferns-4691739-03-d3e15b1e29214f7fa1d054becd693629.jpg,Japanese Maple Bonsai Acer palmatum bonsai.json,60-80 in. tall,,,
Casa Blanca Lily,Lilium 'Casa Blanca',,"Oriental hybrid lily (bulbous, herbaceous perennial)",,Full sun to light shade,"Organic, well-drained",Slightly acidic or neutral soil,USDA 4-9,"Europe, North America and Asia south to the Philippines",https://www.thespruce.com/thmb/tWj8-efKSHajLA7Q9S9u4YZlf3o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-casa-blanca-lily-5115552-hero-a3cd656f1fa745d5b672c0e802a110ea.jpg,Casa Blanca Lily Lilium 'Casa Blanca'.json,"Three to four feet tall, one foot wide",Mid to late summer,White,Toxic to cats
"Foxtail fern, asparagus fern, plume asparagus, emerald feather, plumosa fern",Asparagus densiflorus,Asparagaceae,Perennial,,Partial,Well-draining,"Acidic, neutral",9a-11a (USDA),Africa,https://www.thespruce.com/thmb/jeemrMWhZMBt6LLMFFxLieBeSr8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-1156786288-831c9223425c472eb0f2374580c6b506.jpg,Foxtail Fern Asparagus densiflorus.json,"2-3 ft. tall, 2-3 ft. wide",Spring,White,Toxic to humans and pets
"Lifesaver plant, lifebuoy huernia, little owl eyes, owl eyes, zebra-striped huernia, carrion flower",Huernia zebrina,Apocynaceae,Perennial,,Full sun to part shade,Cactus potting mix,Acidic,9b-11 (USDA),Southern Africa,https://www.thespruce.com/thmb/RAjn32Ruq8RbJvHLshsJweAWO9I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-oyster-plants-5082981-1-dc71da90fb7f4a57a363243718361dbc.jpg,Owl Eyes Huernia zebrina.json,"6 in wide, 6-8 in tall",Spring and summer,Cream-colored and red,
Shingle Oak,Quercus imbricaria,,Deciduous Tree,,Full Sun,Hummus loams with good drainage,Neutral to slightly alkaline,"4-8, USA",Central United States,https://www.thespruce.com/thmb/khwmevF9gnt8QVj1znFIIMk3qIU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-and-care-for-showy-milkweed-5094148-03-4d3d127f85f446848035ccc811524adc.jpg,Shingle Oak Quercus imbricaria.json,"40 to 60 ft. wide, 40 to 60 ft. tall",April,Yellowish-green,
Egyptian Star Cluster,Pentas lanceolata,,Perennial,,Full sun to partial shade,Fertile with good drainage,Mildly acidic,6–11,Africa,https://www.thespruce.com/thmb/AoJMPG5Zhu8Dc3ywc016WhAQEKM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/pentas-flowers-1315713-hero-c63c1173736641a6b607fbdd9069200e.JPG,Egyptian Star Cluster Pentas lanceolata.json,24–36 inches,Summer,"Red, pink, lavender, or white",
Lombardy poplar,Populus nigra 'Italica',Salicaceae,Tree,,Full,"Sandy, loamy",Neutral,3-9 (USDA),Europe,https://www.thespruce.com/thmb/-bwiSXajNnvxpyxB5yB4RYmJ_Gk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/longleaf-pine-growing-guide-5213219-hero-61ffb6fa869e4b5eb1a48a1e813a540c.jpg,Lombardy Poplar Populus nigra 'italica'.json,"40-50 ft. tall, 10-15 ft. wide",,,
Abelia,Abelia,Caprifoliaceae,Shrub,,"Full, Partial","Loamy, Moist but well-drained","Acidic, Neutral","4-11, USA",Asia,https://www.thespruce.com/thmb/oA9Bq1QgujDJeCQtI4_wifWVFU4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/abelia-growing-guide-5216289-hero-bcca3a9260ae44109c507904c233de62.jpg,Abelia Abelia.json,"2-10 ft. tall, 2-8 ft. wide","Spring, Summer, Fall","Pink, Yellow, White",
"Easter lily, trumpet lily, Bermuda lily",Lilium longiflorum,Liliaceae,"Perennial, bulb",,"Full, partial","Loamy, well-drained","Acidic, neutral",4–8 (USA),Asia,https://www.thespruce.com/thmb/AWU9JgvqbYMSwfd2s5KUHBzVXLw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/caring-for-easter-lilies-1403159-2-64ccf52cb94e4bc1b1e9ae0dad1af18f.jpg,Easter Lily Lilium longiflorum.json,"2–3 ft. tall, 1 ft. wide",Summer,"White, pink",Toxic to cats
Sweet basil,Ocimum basilicum,Mint,Perennial or annual herb,18–24 in. tall and wide,Full sun (likes some shade in very hot climates),Somewhat rich soil,5.1–8.5 (acidic to alkaline),10–11 (grown as an annual elsewhere),Central Africa to Southeast Asia,https://www.thespruce.com/thmb/tWil4N7_ijvkZX6jQeaoi0Pa5KM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-sweet-potatoes-in-the-home-garden-1403479-04-0372416a6cc843f391defa996a4c352e.jpg,Sweet Basil Ocimum basilicum.json,18–24 in. tall and wide,June to frost,,
Bearded iris,Iris germanica,Iridaceae,"Herbaceous, perennial",,Full,"Average, well-draining",,3–9 (USDA),Southern Europe and the Mediterranean,https://www.thespruce.com/thmb/5SQhLWmSQN39YDPYzHWwrPvC5uw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-bears-breeches-4125806_01-ed285ff3040842f0ba82e8dafb139535.jpg,Bearded Iris Iris germanica.json,"12–40 in. tall, 1 –2 ft. wide",Spring,"Red, orange, yellow, blue, purple, brown, white, pink, many bicolors",Toxic to dogs and cats
"Chinese peony, common garden peony",Paeonia lactiflora,Paeoniaceae,Herbaceous perennial,,"Full, partial","Sandy, loamy",Neutral (6.5 to 7.0),3a-8a (USDA),"Central Asia (China, Siberia)",https://www.thespruce.com/thmb/IczaAL7an1RlTHwfQR3qPovxjgw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/paeonia-lactiflora-5095782-hero-1eca9bdb561f4acdb5e64e2785024bd8.jpg,Chinese Peony Paeonia lactiflora.json,2–3 ft. tall and wide,Late spring to early summer,"Pink, red, white, yellow, purple, bicolors",Mildly toxic to pets
"Smoke bush, royal purple smoke bush, smoke tree, European smoketree, Eurasian smoketree, Venice sumach, dyer's sumach",Cotinus coggygria,Anacardiaceae,Deciduous shrub,,Full sun,"Prefers well-drained, loamy soil",Tolerates both acidic and alkaline soils,4-9 (USDA),Southern Europe to central China,https://www.thespruce.com/thmb/2ObJKq2vVCHiJB5Di7MlV70bRFw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/snailvine-0fda979b6aea40aba9daab8fa4159b7a.jpg,Smoke Tree Cotinus coggygria.json,"10-15 ft. high, similar spread",Late spring to mid-summer,Yellow,Mildly toxic to humans
"Golden Japanese forest grass, Hakone grass",Hakonechloa macra,,Perennial ornamental grass,,"Part shade, shade","Moist, well-drained soil",6.0 to 7.0 (acidic to neutral),5 to 9,Moist cliffs and woodland areas of Japan,https://www.thespruce.com/thmb/yuGrSGGk4s0ByNzPxCnU88oDLlg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/what-are-garlic-scapes-1402603-hero-990c18e3453647bdab39b392b5a821be.jpg,Hakone Grass Hakonechloa macra 'aureola'.json,"24 inches tall, 36 inch spread",Mid to late-summer,Yellow-green (insignificant),
"'Miss Kim' lilac, Manchurian lilac",Syringa pubescens subsp. patula 'Miss Kim',,Flowering deciduous shrub,,Full sun,Loamy,Neutral to slightly alkaline (pH 7.0–8.0),4–8 (USDA),"Eastern Asia (Korea, Manchuria)",https://www.thespruce.com/thmb/5q4EErUTkX_l3xL7yLE7_c4EjGQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-mango-seeds-1902625-hero-f222c4c0a3ad4b24a70948ddcec9e5e6.jpg,Manchurian Lilac Syringa pubescens.json,6-8 feet tall and wide,Spring to early summer,Lavender-purple,
"Lady's mantle, bear's foot",Alchemilla mollis,Rosaceae,Herbaceous perennial,,"Full sun, partial shade","Medium moisture, well-drained",Acidic to neutral (6 to 6.5),3b–8b (USDA),Europe,https://www.thespruce.com/thmb/KnP43wYjqOnWX9HLeoR5kOuzFkQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/lambs-ear-1402849-03-a7792367f36042268baa0cccb827864a.jpg,Lady's Mantle Alchemilla mollis.json,12–24 in. tall and wide (some varieties),June to September,Yellow-green,
"Japanese false cypress, Sawara false cypress, gold mops, golden mops false cypress, sun gold, king's gold",Chamaecyparis pisifera,Cupressaceae,"Shrub, tree",,"Full, partial","Clay, silt, loam","Neutral, acidic, alkaline",4-8 (USDA),Japan,https://www.thespruce.com/thmb/IcdubdcDFBn1JVkLdK250HwT6A4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-sunflowers-1402916-hero-bfe74d60029442f9b15ae55e8abd081c.jpg,Sun Gold Chamaecyparis pisifera.json,"6-30 ft. tall, 3-7 ft. wide",,,
Sunburst honey locust,Gleditsia triacanthos var. inermis 'Suncole',Fabaceae,Tree,,Full,"Loamy, sandy, clay, silt","Acidic, neutral, alkaline",4-9 (USDA),North America,https://www.thespruce.com/thmb/CCPcVkPGbXgIB4SPmp8tyQZLPtk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/sunpatiens-growing-guide-5202267-hero-422a4e9f4cde4bf3874fbece3f0c3655.JPG,Sunburst Honey Locust Gleditsia triacanthos var. inermis 'Suncole'.json,"30-40 ft. tall, 30-40-ft. wide","Spring, Summer","Green, yellow",
"Canterbury bells, cups and saucers",Campanula medium,Campanulaceae,"Annual, biennial",,"Full, partial","Moist but well-drained, loamy, sandy","Neutral, acidic, alkaline",5-8 (USDA),Europe,https://www.thespruce.com/thmb/s-kXVNTUiYBfTW8xIYy_qhBdn7Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/canterbury-bells-profile-4685601-hero-30dcc5faada04053a4d4177b5d9fed95.jpg,Canterbury Bells Campanula medium.json,"20-26 in. tall, 12-18 in. wide",Summer,"Pink, white, purple, blue",
"Arctic poppy, Iceland poppy",Papaver nudicaule,,Perennial,,"Full, partial","Rich, well-drained",Neutral,2–7 (USDA),"Subarctic regions of North America, Canada, Europe, and Asia",https://www.thespruce.com/thmb/b9hJ1o1dzqclTVL6Ni7nf9MuDh8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-phildendron-erubescens-indoors-1902575-8-e7fb1f170e014c81ac6579a9a4131464.jpg,Iceland Poppy Papaver nudicaule.json,"1–2 ft. high, 1–2 ft. wide",Late spring to early summer,"Pink, red, orange, yellow, white",Toxic to humans and animals
Dwarf Flowering Almond,Prunus glandulosa,Rosaceae,Shrub,,Full,"Moist, well-drained loam",Neutral,4-8 (USDA),Asia,https://www.thespruce.com/thmb/5l-0ZelFRRbAJ5VJ8FYi1OrnH5M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/pink-flowering-almond-bush-4125609_09-821bc5eb778d43649102be76066a4c37.jpg,Dwarf Flowering Almond Prunus glandulosa.json,"3-4 ft. wide, 5 ft. tall",Spring,Pink,Toxic to people
"Carolina rose, pasture rose, prairie rose",Rosa carolina,Rosaceae,Deciduous flowering shrub,,Full,"Well-draining, loamy",Acidic to neutral (5.0-7.5),4-9 (USDA),Eastern North America,https://www.thespruce.com/thmb/YqSfBD96DlJYsrYTCsAs0BM4k7s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-maranta-inside-1902647-02-de777eb8e7804c3d86d658cd242583d6.jpg,Prairie Rose Rosa carolina.json,"3-6 ft. tall, 5–10 ft. wide",Spring,Pink,
Onion,Allium cepa,Amaryllidaceae,"Biennial, vegetable","12–18 in. tall, 6–12 in. wide",Full sun,"Loamy, well-drained",Neutral,5–10 (USDA),Asia,https://www.thespruce.com/thmb/e5m8voyx7G44oAIRee-PT70IZec=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/orange-lily-growing-guide-5209359-hero-d918f048c3424f1499bf54268a36952c.jpg,Onion Allium cepa.json,"12–18 in. tall, 6–12 in. wide",Summer,,Toxic to pets
"Climbing aloe, Common climbing aloe","Aloiampelos ciliaris, formerly Aloe ciliaris",Asphodelaceae,"Perennial, Succulent",,Full sun,Well-drained,"Acid, Alkaline, Neutral","9-11, USA",South Africa,https://www.thespruce.com/thmb/VzIXSXJGbt5j6acnIx5K9E5jMbY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/climbing-aloe-growing-guide-5219796-hero-30d2c490efcc4da78ec264e9a1e07f50.JPG,Climbing Aloe Aloiampelos ciliaris.json,Up to 30 ft. tall,Spring,"Red, Orange",Toxic to people and pets
"Blackhaw viburnum, blackhaw, black haw, sweet haw, stag bush, sheepberry",Viburnum prunifolium,,"Perennial, shrub",,"Full, partial","Moist, well-drained",Neutral,3–9 (USDA),North America,https://www.thespruce.com/thmb/NlmM-k3KyeAvvIs9CsQWgHBU46M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/black-haw-viburnum-growing-profile-3269201-hero-bcc942d876d34e9191386bd8d60a6161.JPG,Blackhaw Viburnum Viburnum prunifolium.json,"12–15 ft. tall, 6–12 ft. wide",Spring,White,
Common hollyhock,Alcea rosea,Malvaceae,"Biennial, Herbaceous",,Full sun,"Moist, Well-drained","Acid, Neutral, Alkaline","2-10, USA",Turkey,https://www.thespruce.com/thmb/B6IK0pLxMqGMer6CKxQdXPWupV4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/common-hollyhock-alcea-rosea-guide-5200998-hero-9ec0d39b702c44278f32c78f29ea4c10.jpg,Common Hollyhock Alcea rosea.json,"6-8 ft. tall, 1 to 2 ft. wide",Summer,"White, Pink, Red, Yellow, Lavender",
Balm of Gilead,Populus x jackii,Salicaceae,Tree,,Full,"Loamy, sandy, moist but well-drained",Neutral,"2-7, USDA",North America,https://www.thespruce.com/thmb/qrZpmMnHm51h-wydd41yLQaiwj0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-balloon-flowers-4125528-4-90d4ad081fd24025a336c0abef3a0bdb.jpg,Balm of Gilead Populus x jackii.json,"100 ft. tall, 40 ft. wide",Spring,"Red, yellow, green",
